E_n,ϵ_2_by_K,N
-1.3920430823618186,0.0,40.0
0.4169592803795146,0.0,40.0
2.2283435621499947,0.0,40.0
6.081139088776095,0.0,40.0
12.041067144398864,0.0,40.0
20.02477663207726,0.0,40.0
30.01656573804297,0.0,40.0
42.01185279034467,0.0,40.0
56.008899170753565,0.0,40.0
72.00692659195131,0.0,40.0
90.00554410008975,0.0,40.0
110.0045377715037,0.0,40.0
132.00378253580055,0.0,40.0
156.00320129860506,0.0,40.0
182.00274443677233,0.0,40.0
210.0023788358347,0.0,40.0
240.0020817119606,0.0,40.0
272.00183697240783,0.0,40.0
306.0016329887153,0.0,40.0
342.00146118892764,0.0,40.0
380.0013151418046,0.0,40.0
420.00118994588973,0.0,40.0
462.0010818127286,0.0,40.0
506.0009877767976,0.0,40.0
552.0009054899372,0.0,40.0
600.0008330733145,0.0,40.0
650.0007690091888,0.0,40.0
702.0007120607223,0.0,40.0
756.0006612118281,0.0,40.0
812.0006156215209,0.0,40.0
870.0005745889143,0.0,40.0
930.0005375261222,0.0,40.0
992.0005039370775,0.0,40.0
1056.0004734008494,0.0,40.0
1122.00044555839,0.0,40.0
1190.0004201019144,0.0,40.0
1260.0003967677244,0.0,40.0
1332.0003774216661,0.0,40.0
1406.0020935061589,0.0,40.0
1482.5114172903175,0.0,40.0
-1.311059450216089,0.1,40.0
0.33882549837079834,0.1,40.0
2.2142813776678656,0.1,40.0
6.073831391817889,0.1,40.0
12.034637977331425,0.1,40.0
20.018840094451583,0.1,40.0
30.010913962901405,0.1,40.0
42.00637586039922,0.1,40.0
56.0035360941845,0.1,40.0
72.0016413953228,0.1,40.0
90.00031436734417,0.1,40.0
109.99934886868806,0.1,40.0
131.9986245285016,0.1,40.0
155.99806721672715,0.1,40.0
181.99762925099168,0.1,40.0
209.9972788288256,0.1,40.0
239.99699407825415,0.1,40.0
271.996759555803,0.1,40.0
305.99656410522704,0.1,40.0
341.99639950453,0.1,40.0
379.9962595862059,0.1,40.0
419.9961396505521,0.1,40.0
461.9960360655488,0.1,40.0
505.995945988457,0.1,40.0
551.9958671685761,0.1,40.0
599.9957978052086,0.1,40.0
649.9957364438404,0.1,40.0
701.9956818992491,0.1,40.0
755.9956331978051,0.1,40.0
811.9955895337024,0.1,40.0
869.995550235416,0.1,40.0
929.9955147397023,0.1,40.0
991.9954825713141,0.1,40.0
1055.995453327026,0.1,40.0
