ΔE_n,Δ,K,ϵ_1,ϵ_2,N
-1.000000000000015,0.0,1.0,0.0,1.0,30.0
-1.000000000000001,0.0,1.0,0.0,1.0,30.0
1.7953045872818167,0.0,1.0,0.0,1.0,30.0
5.567527453869763,0.0,1.0,0.0,1.0,30.0
11.534818451738866,0.0,1.0,0.0,1.0,30.0
19.52068333700256,0.0,1.0,0.0,1.0,30.0
29.513713058567742,0.0,1.0,0.0,1.0,30.0
41.5097617999256,0.0,1.0,0.0,1.0,30.0
55.50730520471374,0.0,1.0,0.0,1.0,30.0
71.5056732795779,0.0,1.0,0.0,1.0,30.0
89.50453377427621,0.0,1.0,0.0,1.0,30.0
109.50370654012748,0.0,1.0,0.0,1.0,30.0
131.50308695205104,0.0,1.0,0.0,1.0,30.0
155.50261083866963,0.0,1.0,0.0,1.0,30.0
181.50223705220054,0.0,1.0,0.0,1.0,30.0
209.5019382157269,0.0,1.0,0.0,1.0,30.0
239.50169553771528,0.0,1.0,0.0,1.0,30.0
271.5014957707427,0.0,1.0,0.0,1.0,30.0
305.5013293577808,0.0,1.0,0.0,1.0,30.0
341.501189262023,0.0,1.0,0.0,1.0,30.0
379.50107031524306,0.0,1.0,0.0,1.0,30.0
419.50096829262736,0.0,1.0,0.0,1.0,30.0
461.50090250664334,0.0,1.0,0.0,1.0,30.0
505.5008261425703,0.0,1.0,0.0,1.0,30.0
551.5039137409335,0.0,1.0,0.0,1.0,30.0
599.5039238557844,0.0,1.0,0.0,1.0,30.0
649.7434190255741,0.0,1.0,0.0,1.0,30.0
701.7504635125127,0.0,1.0,0.0,1.0,30.0
762.8866704352762,0.0,1.0,0.0,1.0,30.0
819.1292316988387,0.0,1.0,0.0,1.0,30.0
-1.020215444362783,0.0,1.0,0.01,1.0,30.0
-0.9798442343556785,0.0,1.0,0.01,1.0,30.0
1.7952803835031297,0.0,1.0,0.01,1.0,30.0
5.5675379772177145,0.0,1.0,0.01,1.0,30.0
11.534823768662426,0.0,1.0,0.01,1.0,30.0
