cross_n,Δnn,Δ,K,ϵ_1,ϵ_2,N
1.0,0.0,0.0,1.0,0.0,0.0,200.0
1.0,3.593306208138358e-14,0.0,1.0,0.0,0.07,200.0
1.0,9.494141584021065e-14,0.0,1.0,0.0,0.14,200.0
1.0,3.490263633665336e-14,0.0,1.0,0.0,0.21,200.0
1.0,2.8574365096289966e-14,0.0,1.0,0.0,0.28,200.0
1.0,3.1502578323738817e-14,0.0,1.0,0.0,0.35,200.0
1.0,1.7763568394002505e-15,0.0,1.0,0.0,0.42,200.0
1.0,1.712519015484304e-14,0.0,1.0,0.0,0.49,200.0
1.0,7.993605777301127e-15,0.0,1.0,0.0,0.56,200.0
1.0,2.3869795029440866e-14,0.0,1.0,0.0,0.63,200.0
1.0,1.1862733018119798e-13,0.0,1.0,0.0,0.7,200.0
1.0,4.9960036108132044e-15,0.0,1.0,0.0,0.77,200.0
1.0,9.447997939560082e-14,0.0,1.0,0.0,0.84,200.0
1.0,2.5579538487363607e-13,0.0,1.0,0.0,0.91,200.0
1.0,8.881784197001252e-14,0.0,1.0,0.0,0.98,200.0
1.0,2.708944180085382e-14,0.0,1.0,0.0,1.05,200.0
1.0,1.318944953254686e-13,0.0,1.0,0.0,1.12,200.0
1.0,1.751931932858497e-13,0.0,1.0,0.0,1.19,200.0
1.0,4.085620730620576e-14,0.0,1.0,0.0,1.26,200.0
1.0,5.88418203051333e-14,0.0,1.0,0.0,1.33,200.0
1.0,8.215650382226158e-15,0.0,1.0,0.0,1.4,200.0
1.0,1.0036416142611415e-13,0.0,1.0,0.0,1.47,200.0
1.0,3.108624468950438e-14,0.0,1.0,0.0,1.54,200.0
1.0,2.7977620220553945e-14,0.0,1.0,0.0,1.61,200.0
1.0,5.1958437552457326e-14,0.0,1.0,0.0,1.68,200.0
1.0,7.815970093361102e-14,0.0,1.0,0.0,1.75,200.0
1.0,1.9051427102567686e-13,0.0,1.0,0.0,1.82,200.0
1.0,1.509903313490213e-13,0.0,1.0,0.0,1.89,200.0
1.0,1.056932319443149e-13,0.0,1.0,0.0,1.96,200.0
1.0,3.6415315207705135e-14,0.0,1.0,0.0,2.03,200.0
1.0,2.6645352591003757e-14,0.0,1.0,0.0,2.1,200.0
1.0,1.0480505352461478e-13,0.0,1.0,0.0,2.17,200.0
1.0,1.8385293287792592e-13,0.0,1.0,0.0,2.24,200.0
1.0,6.394884621840902e-14,0.0,1.0,0.0,2.31,200.0
1.0,1.4654943925052066e-13,0.0,1.0,0.0,2.38,200.0
1.0,2.3003821070233244e-13,0.0,1.0,0.0,2.45,200.0
1.0,1.8385293287792592e-13,0.0,1.0,0.0,2.52,200.0
1.0,3.019806626980426e-14,0.0,1.0,0.0,2.59,200.0
1.0,3.8813396940895473e-13,0.0,1.0,0.0,2.66,200.0
1.0,2.6645352591003757e-14,0.0,1.0,0.0,2.73,200.0
1.0,1.2079226507921703e-13,0.0,1.0,0.0,2.8,200.0
1.0,4.085620730620576e-14,0.0,1.0,0.0,2.87,200.0
1.0,1.4210854715202004e-14,0.0,1.0,0.0,2.94,200.0
1.0,1.8118839761882555e-13,0.0,1.0,0.0,3.01,200.0
1.0,1.9539925233402755e-13,0.0,1.0,0.0,3.08,200.0
1.0,1.4210854715202004e-14,0.0,1.0,0.0,3.15,200.0
1.0,1.0302869668521453e-13,0.0,1.0,0.0,3.22,200.0
1.0,2.113864638886298e-13,0.0,1.0,0.0,3.29,200.0
1.0,2.113864638886298e-13,0.0,1.0,0.0,3.36,200.0
1.0,1.7053025658242404e-13,0.0,1.0,0.0,3.43,200.0
1.0,1.2612133559741778e-13,0.0,1.0,0.0,3.5,200.0
1.0,2.3092638912203256e-13,0.0,1.0,0.0,3.57,200.0
1.0,9.414691248821327e-14,0.0,1.0,0.0,3.64,200.0
1.0,3.019806626980426e-13,0.0,1.0,0.0,3.71,200.0
1.0,1.3322676295501878e-13,0.0,1.0,0.0,3.78,200.0
1.0,5.684341886080802e-14,0.0,1.0,0.0,3.85,200.0
1.0,5.311306949806749e-13,0.0,1.0,0.0,3.92,200.0
1.0,4.263256414560601e-13,0.0,1.0,0.0,3.99,200.0
1.0,2.7355895326763857e-13,0.0,1.0,0.0,4.06,200.0
1.0,2.7355895326763857e-13,0.0,1.0,0.0,4.13,200.0
1.0,1.9184653865522705e-13,0.0,1.0,0.0,4.2,200.0
1.0,7.105427357601002e-15,0.0,1.0,0.0,4.27,200.0
1.0,1.0658141036401503e-14,0.0,1.0,0.0,4.34,200.0
1.0,4.973799150320701e-13,0.0,1.0,0.0,4.41,200.0
1.0,3.197442310920451e-13,0.0,1.0,0.0,4.48,200.0
1.0,1.0231815394945443e-12,0.0,1.0,0.0,4.55,200.0
1.0,4.831690603168681e-13,0.0,1.0,0.0,4.62,200.0
1.0,1.7053025658242404e-13,0.0,1.0,0.0,4.69,200.0
1.0,7.815970093361102e-14,0.0,1.0,0.0,4.76,200.0
3.0,0.4829402039316868,0.0,1.0,0.0,4.76,200.0
1.0,3.197442310920451e-14,0.0,1.0,0.0,4.83,200.0
3.0,0.44597153189594607,0.0,1.0,0.0,4.83,200.0
1.0,2.984279490192421e-13,0.0,1.0,0.0,4.9,200.0
3.0,0.41128513890848595,0.0,1.0,0.0,4.9,200.0
1.0,1.0302869668521453e-13,0.0,1.0,0.0,4.97,200.0
3.0,0.3788105022033186,0.0,1.0,0.0,4.97,200.0
1.0,4.369837824924616e-13,0.0,1.0,0.0,5.04,200.0
3.0,0.34846961429304457,0.0,1.0,0.0,5.04,200.0
1.0,2.4158453015843406e-13,0.0,1.0,0.0,5.11,200.0
3.0,0.3201785049951944,0.0,1.0,0.0,5.11,200.0
1.0,0.0,0.0,1.0,0.0,5.18,200.0
3.0,0.2938486893573149,0.0,1.0,0.0,5.18,200.0
1.0,1.0658141036401503e-12,0.0,1.0,0.0,5.25,200.0
3.0,0.26938851723349444,0.0,1.0,0.0,5.25,200.0
1.0,1.2434497875801753e-13,0.0,1.0,0.0,5.32,200.0
3.0,0.24670440731422616,0.0,1.0,0.0,5.32,200.0
1.0,2.0250467969162855e-13,0.0,1.0,0.0,5.39,200.0
3.0,0.225701954873184,0.0,1.0,0.0,5.39,200.0
1.0,6.252776074688882e-13,0.0,1.0,0.0,5.46,200.0
3.0,0.2062869081510179,0.0,1.0,0.0,5.46,200.0
1.0,6.501466032204917e-13,0.0,1.0,0.0,5.53,200.0
3.0,0.18836601308082024,0.0,1.0,0.0,5.53,200.0
1.0,3.765876499528531e-13,0.0,1.0,0.0,5.6,200.0
3.0,0.1718477298303327,0.0,1.0,0.0,5.6,200.0
1.0,3.481659405224491e-13,0.0,1.0,0.0,5.67,200.0
3.0,0.15664282754003978,0.0,1.0,0.0,5.67,200.0
1.0,5.115907697472721e-13,0.0,1.0,0.0,5.74,200.0
3.0,0.1426648656730407,0.0,1.0,0.0,5.74,200.0
1.0,3.055333763768431e-13,0.0,1.0,0.0,5.81,200.0
3.0,0.12983057172434442,0.0,1.0,0.0,5.81,200.0
1.0,2.4868995751603507e-13,0.0,1.0,0.0,5.88,200.0
3.0,0.11806012572138158,0.0,1.0,0.0,5.88,200.0
1.0,2.8421709430404007e-13,0.0,1.0,0.0,5.95,200.0
3.0,0.10727736219251582,0.0,1.0,0.0,5.95,200.0
1.0,3.623767952376511e-13,0.0,1.0,0.0,6.02,200.0
3.0,0.09740990009668593,0.0,1.0,0.0,6.02,200.0
1.0,1.1368683772161603e-13,0.0,1.0,0.0,6.09,200.0
3.0,0.0883892107843991,0.0,1.0,0.0,6.09,200.0
1.0,2.4868995751603507e-13,0.0,1.0,0.0,6.16,200.0
3.0,0.08015063341236939,0.0,1.0,0.0,6.16,200.0
1.0,3.339550858072471e-13,0.0,1.0,0.0,6.23,200.0
3.0,0.07263334649939779,0.0,1.0,0.0,6.23,200.0
1.0,5.471179065352771e-13,0.0,1.0,0.0,6.3,200.0
3.0,0.0657803034959521,0.0,1.0,0.0,6.3,200.0
1.0,4.405364961712621e-13,0.0,1.0,0.0,6.37,200.0
3.0,0.059538139372559584,0.0,1.0,0.0,6.37,200.0
1.0,2.4868995751603507e-13,0.0,1.0,0.0,6.44,200.0
3.0,0.05385705445550926,0.0,1.0,0.0,6.44,200.0
1.0,1.6342482922482304e-13,0.0,1.0,0.0,6.51,200.0
3.0,0.04869068091700868,0.0,1.0,0.0,6.51,200.0
1.0,7.318590178329032e-13,0.0,1.0,0.0,6.58,200.0
3.0,0.04399593657631229,0.0,1.0,0.0,6.58,200.0
1.0,4.902744876744691e-13,0.0,1.0,0.0,6.65,200.0
3.0,0.03973287001976544,0.0,1.0,0.0,6.65,200.0
1.0,1.7124079931818414e-12,0.0,1.0,0.0,6.72,200.0
3.0,0.03586450040605271,0.0,1.0,0.0,6.72,200.0
1.0,1.0658141036401503e-13,0.0,1.0,0.0,6.79,200.0
3.0,0.03235665474381477,0.0,1.0,0.0,6.79,200.0
1.0,1.0658141036401503e-13,0.0,1.0,0.0,6.86,200.0
3.0,0.029177805013535618,0.0,1.0,0.0,6.86,200.0
1.0,4.973799150320701e-13,0.0,1.0,0.0,6.93,200.0
3.0,0.02629890696091053,0.0,1.0,0.0,6.93,200.0
1.0,3.268496584496461e-13,0.0,1.0,0.0,7.0,200.0
3.0,0.023693242120536695,0.0,1.0,0.0,7.0,200.0
1.0,1.1368683772161603e-13,0.0,1.0,0.0,7.07,200.0
3.0,0.021336264227500124,0.0,1.0,0.0,7.07,200.0
1.0,1.8474111129762605e-13,0.0,1.0,0.0,7.14,200.0
3.0,0.01920545093940973,0.0,1.0,0.0,7.14,200.0
1.0,2.1316282072803006e-14,0.0,1.0,0.0,7.21,200.0
3.0,0.01728016152328493,0.0,1.0,0.0,7.21,200.0
1.0,7.531752999057062e-13,0.0,1.0,0.0,7.28,200.0
3.0,0.015541500990302382,0.0,1.0,0.0,7.28,200.0
1.0,4.050093593832571e-13,0.0,1.0,0.0,7.35,200.0
3.0,0.013972190983235322,0.0,1.0,0.0,7.35,200.0
1.0,5.115907697472721e-13,0.0,1.0,0.0,7.42,200.0
3.0,0.012556447565746254,0.0,1.0,0.0,7.42,200.0
1.0,5.897504706808832e-13,0.0,1.0,0.0,7.49,200.0
3.0,0.011279865979897608,0.0,1.0,0.0,7.49,200.0
1.0,5.684341886080801e-13,0.0,1.0,0.0,7.56,200.0
3.0,0.010129312333450713,0.0,1.0,0.0,7.56,200.0
1.0,1.6342482922482304e-13,0.0,1.0,0.0,7.63,200.0
3.0,0.009092822094192599,0.0,1.0,0.0,7.63,200.0
1.0,1.3500311979441904e-13,0.0,1.0,0.0,7.7,200.0
3.0,0.008159505220117325,0.0,1.0,0.0,7.7,200.0
1.0,9.023892744153272e-13,0.0,1.0,0.0,7.77,200.0
3.0,0.007319457732489099,0.0,1.0,0.0,7.77,200.0
1.0,1.1368683772161603e-13,0.0,1.0,0.0,7.84,200.0
3.0,0.0065636794488170835,0.0,1.0,0.0,7.84,200.0
1.0,5.897504706808832e-13,0.0,1.0,0.0,7.91,200.0
3.0,0.005883997640367511,0.0,1.0,0.0,7.91,200.0
1.0,7.034373084024992e-13,0.0,1.0,0.0,7.98,200.0
3.0,0.005272996299687804,0.0,1.0,0.0,7.98,200.0
1.0,1.9895196601282805e-13,0.0,1.0,0.0,8.05,200.0
3.0,0.0047239507479091,0.0,1.0,0.0,8.05,200.0
1.0,3.694822225952521e-13,0.0,1.0,0.0,8.12,200.0
3.0,0.00423076725563476,0.0,1.0,0.0,8.12,200.0
1.0,1.7053025658242404e-13,0.0,1.0,0.0,8.19,200.0
3.0,0.003787927408019698,0.0,1.0,0.0,8.19,200.0
1.0,5.684341886080802e-14,0.0,1.0,0.0,8.26,200.0
3.0,0.0033904368876704893,0.0,1.0,0.0,8.26,200.0
1.0,4.973799150320701e-13,0.0,1.0,0.0,8.33,200.0
3.0,0.003033778421382749,0.0,1.0,0.0,8.33,200.0
1.0,4.405364961712621e-13,0.0,1.0,0.0,8.4,200.0
3.0,0.002713868581196266,0.0,1.0,0.0,8.4,200.0
1.0,2.1316282072803006e-13,0.0,1.0,0.0,8.47,200.0
3.0,0.002427018196776487,0.0,1.0,0.0,8.47,200.0
1.0,5.400124791776761e-13,0.0,1.0,0.0,8.54,200.0
3.0,0.002169896097022672,0.0,1.0,0.0,8.54,200.0
5.0,0.47513429386759043,0.0,1.0,0.0,8.54,200.0
1.0,4.831690603168681e-13,0.0,1.0,0.0,8.61,200.0
3.0,0.0019394959546517043,0.0,1.0,0.0,8.61,200.0
5.0,0.43782010476845556,0.0,1.0,0.0,8.61,200.0
1.0,1.1368683772161603e-13,0.0,1.0,0.0,8.68,200.0
3.0,0.0017331059987029107,0.0,1.0,0.0,8.68,200.0
5.0,0.40308985450704427,0.0,1.0,0.0,8.68,200.0
1.0,3.410605131648481e-13,0.0,1.0,0.0,8.75,200.0
3.0,0.0015482813584952737,0.0,1.0,0.0,8.75,200.0
5.0,0.37080676516981015,0.0,1.0,0.0,8.75,200.0
1.0,1.8474111129762605e-13,0.0,1.0,0.0,8.82,200.0
3.0,0.0013828188619200432,0.0,1.0,0.0,8.82,200.0
5.0,0.3408358920065453,0.0,1.0,0.0,8.82,200.0
1.0,7.958078640513122e-13,0.0,1.0,0.0,8.89,200.0
3.0,0.001234734064581744,0.0,1.0,0.0,8.89,200.0
5.0,0.3130449202151766,0.0,1.0,0.0,8.89,200.0
1.0,1.2789769243681803e-13,0.0,1.0,0.0,8.96,200.0
3.0,0.0011022403429734595,0.0,1.0,0.0,8.96,200.0
5.0,0.28730483414530283,0.0,1.0,0.0,8.96,200.0
1.0,1.3358203432289883e-12,0.0,1.0,0.0,9.03,200.0
3.0,0.0009837298941377526,0.0,1.0,0.0,9.03,200.0
5.0,0.2634904666772755,0.0,1.0,0.0,9.03,200.0
1.0,6.679101716144942e-13,0.0,1.0,0.0,9.1,200.0
3.0,0.0008777564435646923,0.0,1.0,0.0,9.1,200.0
5.0,0.24148093784484104,0.0,1.0,0.0,9.1,200.0
1.0,8.242295734817162e-13,0.0,1.0,0.0,9.17,200.0
3.0,0.0007830195787335015,0.0,1.0,0.0,9.17,200.0
5.0,0.22115999261330188,0.0,1.0,0.0,9.17,200.0
1.0,1.0658141036401503e-12,0.0,1.0,0.0,9.24,200.0
3.0,0.0006983504936286522,0.0,1.0,0.0,9.24,200.0
5.0,0.20241624799638203,0.0,1.0,0.0,9.24,200.0
1.0,5.542233338928781e-13,0.0,1.0,0.0,9.31,200.0
3.0,0.0006226991041344832,0.0,1.0,0.0,9.31,200.0
5.0,0.18514335978122176,0.0,1.0,0.0,9.31,200.0
1.0,8.668621376273222e-13,0.0,1.0,0.0,9.38,200.0
3.0,0.0005551223398541083,0.0,1.0,0.0,9.38,200.0
5.0,0.16924011881592094,0.0,1.0,0.0,9.38,200.0
1.0,4.263256414560601e-13,0.0,1.0,0.0,9.45,200.0
3.0,0.000494773561094064,0.0,1.0,0.0,9.45,200.0
5.0,0.15461048640970887,0.0,1.0,0.0,9.45,200.0
1.0,3.552713678800501e-13,0.0,1.0,0.0,9.52,200.0
3.0,0.00044089298265248544,0.0,1.0,0.0,9.52,200.0
5.0,0.14116357774423705,0.0,1.0,0.0,9.52,200.0
1.0,1.4210854715202004e-13,0.0,1.0,0.0,9.59,200.0
3.0,0.0003927989993428582,0.0,1.0,0.0,9.59,200.0
5.0,0.12881360155192567,0.0,1.0,0.0,9.59,200.0
1.0,4.263256414560601e-14,0.0,1.0,0.0,9.66,200.0
3.0,0.00034988035836391873,0.0,1.0,0.0,9.66,200.0
5.0,0.11747976356085132,0.0,1.0,0.0,9.66,200.0
1.0,5.400124791776761e-13,0.0,1.0,0.0,9.73,200.0
3.0,0.0003115890863085724,0.0,1.0,0.0,9.73,200.0
5.0,0.10708614049420362,0.0,1.0,0.0,9.73,200.0
1.0,4.973799150320701e-13,0.0,1.0,0.0,9.8,200.0
3.0,0.00027743410054625883,0.0,1.0,0.0,9.8,200.0
5.0,0.09756153061776729,0.0,1.0,0.0,9.8,200.0
1.0,8.384404281969182e-13,0.0,1.0,0.0,9.87,200.0
3.0,0.00024697544688478956,0.0,1.0,0.0,9.87,200.0
5.0,0.08883928617943582,0.0,1.0,0.0,9.87,200.0
1.0,4.973799150320701e-13,0.0,1.0,0.0,9.94,200.0
3.0,0.0002198190988806914,0.0,1.0,0.0,9.94,200.0
5.0,0.08085713236383185,0.0,1.0,0.0,9.94,200.0
1.0,0.05999325164526943,0.0,1.0,0.03,0.0,200.0
1.0,0.06423804755311599,0.0,1.0,0.03,0.07,200.0
1.0,0.06856002899861321,0.0,1.0,0.03,0.14,200.0
1.0,0.07293814727368345,0.0,1.0,0.03,0.21,200.0
1.0,0.0773517412151719,0.0,1.0,0.03,0.28,200.0
1.0,0.0817810972060904,0.0,1.0,0.03,0.35,200.0
1.0,0.08620792005417258,0.0,1.0,0.03,0.42,200.0
1.0,0.09061569347271353,0.0,1.0,0.03,0.49,200.0
1.0,0.09498992086275543,0.0,1.0,0.03,0.56,200.0
1.0,0.09931824839116749,0.0,1.0,0.03,0.63,200.0
1.0,0.10359048157837158,0.0,1.0,0.03,0.7,200.0
1.0,0.10779851295236309,0.0,1.0,0.03,0.77,200.0
