min(Δnn),Δ,K,ϵ_1,ϵ_2,N
0.19975067687491022,0.0,1.0,0.1,0.0,200.0
0.21387489328888112,0.0,1.0,0.1,0.07,200.0
0.2282600164869398,0.0,1.0,0.1,0.14,200.0
0.24283675809207672,0.0,1.0,0.1,0.21,200.0
0.2575368394910369,0.0,1.0,0.1,0.28,200.0
0.27229481972562175,0.0,1.0,0.1,0.35,200.0
0.28704966399061893,0.0,1.0,0.1,0.42,200.0
0.30174597853010116,0.0,1.0,0.1,0.49,200.0
0.31633487233624213,0.0,1.0,0.1,0.56,200.0
0.33077444086143226,0.0,1.0,0.1,0.63,200.0
0.3450298975061085,0.0,1.0,0.1,0.7,200.0
0.35907340175716485,0.0,1.0,0.1,0.77,200.0
0.3728836469923742,0.0,1.0,0.1,0.84,200.0
0.3864452762255799,0.0,1.0,0.1,0.91,200.0
0.3997481918015586,0.0,1.0,0.1,0.98,200.0
0.41278681734403067,0.0,1.0,0.1,1.05,200.0
0.42555935939162537,0.0,1.0,0.1,1.12,200.0
0.4380671041697157,0.0,1.0,0.1,1.19,200.0
0.45031377340841594,0.0,1.0,0.1,1.26,200.0
0.4623049530419783,0.0,1.0,0.1,1.33,200.0
0.4740476005150276,0.0,1.0,0.1,1.4,200.0
0.48554963038215315,0.0,1.0,0.1,1.47,200.0
0.49681957376254093,0.0,1.0,0.1,1.54,200.0
0.5078663046982039,0.0,1.0,0.1,1.61,200.0
0.5186988252106617,0.0,1.0,0.1,1.68,200.0
0.5293261005138254,0.0,1.0,0.1,1.75,200.0
0.5397569361228491,0.0,1.0,0.1,1.82,200.0
0.5499998892587508,0.0,1.0,0.1,1.89,200.0
0.5600632078083221,0.0,1.0,0.1,1.96,200.0
0.569954791027885,0.0,1.0,0.1,2.03,200.0
0.5796821670967693,0.0,1.0,0.1,2.1,200.0
0.5892524834775346,0.0,1.0,0.1,2.17,200.0
0.5986725068012397,0.0,1.0,0.1,2.24,200.0
0.6079486296540519,0.0,1.0,0.1,2.31,200.0
0.617086882199378,0.0,1.0,0.1,2.38,200.0
0.6260929470312036,0.0,1.0,0.1,2.45,200.0
0.6349721760318507,0.0,1.0,0.1,2.52,200.0
0.6437296083109283,0.0,1.0,0.1,2.59,200.0
0.6523699885427368,0.0,1.0,0.1,2.66,200.0
0.6608977852092259,0.0,1.0,0.1,2.73,200.0
0.6693172084011465,0.0,1.0,0.1,2.8,200.0
0.6776322269432038,0.0,1.0,0.1,2.87,200.0
0.6858465846939534,0.0,1.0,0.1,2.94,200.0
0.6939638159335111,0.0,1.0,0.1,3.01,200.0
0.7019872598000205,0.0,1.0,0.1,3.08,200.0
0.7099200737684228,0.0,1.0,0.1,3.15,200.0
0.7177652461886961,0.0,1.0,0.1,3.22,200.0
0.7255256079168699,0.0,1.0,0.1,3.29,200.0
0.7332038430821832,0.0,1.0,0.1,3.36,200.0
0.7408024990395976,0.0,1.0,0.1,3.43,200.0
0.7483239955605239,0.0,1.0,0.1,3.5,200.0
0.7557706333142438,0.0,1.0,0.1,3.57,200.0
0.7631446016932557,0.0,1.0,0.1,3.64,200.0
0.7704479860323108,0.0,1.0,0.1,3.71,200.0
0.7776827742702377,0.0,1.0,0.1,3.78,200.0
0.7848508630990292,0.0,1.0,0.1,3.85,200.0
0.7919540636435425,0.0,1.0,0.1,3.92,200.0
0.7989941067096797,0.0,1.0,0.1,3.99,200.0
0.805972647638864,0.0,1.0,0.1,4.06,200.0
0.8128912708005593,0.0,1.0,0.1,4.13,200.0
0.8197514937544561,0.0,1.0,0.1,4.2,200.0
0.8265547711092829,0.0,1.0,0.1,4.27,200.0
0.8333024981045227,0.0,1.0,0.1,4.34,200.0
0.8399960139370108,0.0,1.0,0.1,4.41,200.0
0.8466366048547584,0.0,1.0,0.1,4.48,200.0
0.8532255070362247,0.0,1.0,0.1,4.55,200.0
0.8336872514380218,0.0,1.0,0.1,4.62,200.0
0.8136026660633888,0.0,1.0,0.1,4.69,200.0
0.7966624343736193,0.0,1.0,0.1,4.76,200.0
0.7826737900512057,0.0,1.0,0.1,4.83,200.0
0.7714213308870868,0.0,1.0,0.1,4.9,200.0
0.7626743980211437,0.0,1.0,0.1,4.97,200.0
0.7561945614811947,0.0,1.0,0.1,5.04,200.0
0.7517426696045639,0.0,1.0,0.1,5.11,200.0
0.7490850289387794,0.0,1.0,0.1,5.18,200.0
0.7479984332091334,0.0,1.0,0.1,5.25,200.0
0.7482739200095416,0.0,1.0,0.1,5.32,200.0
0.7497192736326106,0.0,1.0,0.1,5.39,200.0
0.7521603953223668,0.0,1.0,0.1,5.46,200.0
0.7554417236454363,0.0,1.0,0.1,5.53,200.0
0.7594259119868703,0.0,1.0,0.1,5.6,200.0
0.7639929664410445,0.0,1.0,0.1,5.67,200.0
0.7690390257395805,0.0,1.0,0.1,5.74,200.0
0.7744749342445232,0.0,1.0,0.1,5.81,200.0
0.7802247260855069,0.0,1.0,0.1,5.88,200.0
0.7862241075015319,0.0,1.0,0.1,5.95,200.0
0.7924189976384461,0.0,1.0,0.1,6.02,200.0
0.7987641663005647,0.0,1.0,0.1,6.09,200.0
0.8052219903948981,0.0,1.0,0.1,6.16,200.0
0.8117613384938309,0.0,1.0,0.1,6.23,200.0
0.818356584318245,0.0,1.0,0.1,6.3,200.0
0.824986744236675,0.0,1.0,0.1,6.37,200.0
0.8316347303740592,0.0,1.0,0.1,6.44,200.0
0.8382867090295001,0.0,1.0,0.1,6.51,200.0
0.8449315533376662,0.0,1.0,0.1,6.58,200.0
0.8515603791030948,0.0,1.0,0.1,6.65,200.0
0.8581661532170557,0.0,1.0,0.1,6.72,200.0
0.8647433648301543,0.0,1.0,0.1,6.79,200.0
0.8712877503691381,0.0,1.0,0.1,6.86,200.0
0.8777960644470042,0.0,1.0,0.1,6.93,200.0
0.8842658896713225,0.0,1.0,0.1,7.0,200.0
0.8906954792584614,0.0,1.0,0.1,7.07,200.0
0.8970836271957197,0.0,1.0,0.1,7.14,200.0
0.9034295614470267,0.0,1.0,0.1,7.21,200.0
0.9097328563652809,0.0,1.0,0.1,7.28,200.0
0.9159933610627711,0.0,1.0,0.1,7.35,200.0
0.9222111410014762,0.0,1.0,0.1,7.42,200.0
0.9283864305015754,0.0,1.0,0.1,7.49,200.0
0.934519594248048,0.0,1.0,0.1,7.56,200.0
0.9406110961891834,0.0,1.0,0.1,7.63,200.0
0.9466614744960182,0.0,1.0,0.1,7.7,200.0
0.9526713214780855,0.0,1.0,0.1,7.77,200.0
0.9586412675420419,0.0,1.0,0.1,7.84,200.0
0.9645719684413123,0.0,1.0,0.1,7.91,200.0
0.9704640951971726,0.0,1.0,0.1,7.98,200.0
0.9763183261826853,0.0,1.0,0.1,8.05,200.0
0.9821353409546845,0.0,1.0,0.1,8.12,200.0
