ΔE_n,Δ,K,ϵ_1,ϵ_2,N
0.0,0.0,0.1,0.0,5.0,50.0
17.7363622249361,0.0,0.1,0.0,5.0,50.0
110.6561042903806,0.0,0.1,0.0,5.0,50.0
126.73290902887749,0.0,0.1,0.0,5.0,50.0
193.38320387378695,0.0,0.1,0.0,5.0,50.0
208.12226438583508,0.0,0.1,0.0,5.0,50.0
260.7057766773914,0.0,0.1,0.0,5.0,50.0
274.27710428180893,0.0,0.1,0.0,5.0,50.0
317.56052394204704,0.0,0.1,0.0,5.0,50.0
330.0748989484483,0.0,0.1,0.0,5.0,50.0
366.55533084501093,0.0,0.1,0.0,5.0,50.0
378.0919484353494,0.0,0.1,0.0,5.0,50.0
409.28420072419965,0.0,0.1,0.0,5.0,50.0
419.9021435335964,0.0,0.1,0.0,5.0,50.0
446.80938825293936,0.0,0.1,0.0,5.0,50.0
456.5530164662124,0.0,0.1,0.0,5.0,50.0
479.8774214121686,0.0,0.1,0.0,5.0,50.0
488.77870592114414,0.0,0.1,0.0,5.0,50.0
509.0276702203496,0.0,0.1,0.0,5.0,50.0
517.1063476152251,0.0,0.1,0.0,5.0,50.0
534.6488464279818,0.0,0.1,0.0,5.0,50.0
541.9100720729522,0.0,0.1,0.0,5.0,50.0
557.0034578036498,0.0,0.1,0.0,5.0,50.0
563.4307839218413,0.0,0.1,0.0,5.0,50.0
576.2203282645141,0.0,0.1,0.0,5.0,50.0
581.7533370320025,0.0,0.1,0.0,5.0,50.0
592.247644800992,0.0,0.1,0.0,5.0,50.0
596.5247668307693,0.0,0.1,0.0,5.0,50.0
605.3483670416757,0.0,0.1,0.0,5.0,50.0
605.9243895305923,0.0,0.1,0.0,5.0,50.0
616.1830161126396,0.0,0.1,0.0,5.0,50.0
618.3322474723393,0.0,0.1,0.0,5.0,50.0
631.1838839888536,0.0,0.1,0.0,5.0,50.0
633.8259874944564,0.0,0.1,0.0,5.0,50.0
648.946650224587,0.0,0.1,0.0,5.0,50.0
651.8419959231276,0.0,0.1,0.0,5.0,50.0
669.0350246271145,0.0,0.1,0.0,5.0,50.0
672.0963781759983,0.0,0.1,0.0,5.0,50.0
691.3019722183165,0.0,0.1,0.0,5.0,50.0
694.455226127599,0.0,0.1,0.0,5.0,50.0
715.7009152240528,0.0,0.1,0.0,5.0,50.0
718.8707875324316,0.0,0.1,0.0,5.0,50.0
742.2551148913963,0.0,0.1,0.0,5.0,50.0
745.355331127934,0.0,0.1,0.0,5.0,50.0
771.059786771916,0.0,0.1,0.0,5.0,50.0
773.9796457665377,0.0,0.1,0.0,5.0,50.0
802.3184709923695,0.0,0.1,0.0,5.0,50.0
804.8944039010761,0.0,0.1,0.0,5.0,50.0
836.4839815743776,0.0,0.1,0.0,5.0,50.0
838.4075987566279,0.0,0.1,0.0,5.0,50.0
0.0,0.0,0.1,0.01,5.0,50.0
17.736362277595617,0.0,0.1,0.01,5.0,50.0
110.65610401485014,0.0,0.1,0.01,5.0,50.0
126.73290880853972,0.0,0.1,0.01,5.0,50.0
193.38320334065463,0.0,0.1,0.01,5.0,50.0
208.1222639096593,0.0,0.1,0.01,5.0,50.0
260.7057758887091,0.0,0.1,0.01,5.0,50.0
274.2771035512426,0.0,0.1,0.01,5.0,50.0
317.5605228938243,0.0,0.1,0.01,5.0,50.0
330.0748979588939,0.0,0.1,0.01,5.0,50.0
366.5553295301581,0.0,0.1,0.01,5.0,50.0
378.0919471790513,0.0,0.1,0.01,5.0,50.0
409.2841991338664,0.0,0.1,0.01,5.0,50.0
419.9021420009459,0.0,0.1,0.01,5.0,50.0
446.8093863773449,0.0,0.1,0.01,5.0,50.0
456.5530146465343,0.0,0.1,0.01,5.0,50.0
479.8774192412641,0.0,0.1,0.01,5.0,50.0
488.7787038033177,0.0,0.1,0.01,5.0,50.0
509.02766774445695,0.0,0.1,0.01,5.0,50.0
517.1063451882474,0.0,0.1,0.01,5.0,50.0
534.6488436384682,0.0,0.1,0.01,5.0,50.0
541.910069326472,0.0,0.1,0.01,5.0,50.0
557.0034546932983,0.0,0.1,0.01,5.0,50.0
563.430780848474,0.0,0.1,0.01,5.0,50.0
576.2203247422542,0.0,0.1,0.01,5.0,50.0
581.7533340658567,0.0,0.1,0.01,5.0,50.0
592.2476310858041,0.0,0.1,0.01,5.0,50.0
596.5247965075345,0.0,0.1,0.01,5.0,50.0
605.3470736661205,0.0,0.1,0.01,5.0,50.0
605.925780773296,0.0,0.1,0.01,5.0,50.0
616.1820493897832,0.0,0.1,0.01,5.0,50.0
618.3332508506239,0.0,0.1,0.01,5.0,50.0
631.182693065955,0.0,0.1,0.01,5.0,50.0
633.8272008278028,0.0,0.1,0.01,5.0,50.0
648.9452127458273,0.0,0.1,0.01,5.0,50.0
651.8434523374262,0.0,0.1,0.01,5.0,50.0
669.0333178818091,0.0,0.1,0.01,5.0,50.0
672.0981022775642,0.0,0.1,0.01,5.0,50.0
691.2999507152433,0.0,0.1,0.01,5.0,50.0
694.4572642114058,0.0,0.1,0.01,5.0,50.0
715.6985036064168,0.0,0.1,0.01,5.0,50.0
718.8732153979012,0.0,0.1,0.01,5.0,50.0
742.2521867517215,0.0,0.1,0.01,5.0,50.0
745.3582754697634,0.0,0.1,0.01,5.0,50.0
771.0561091086781,0.0,0.1,0.01,5.0,50.0
773.9833398034723,0.0,0.1,0.01,5.0,50.0
802.3135239453926,0.0,0.1,0.01,5.0,50.0
804.8993676872278,0.0,0.1,0.01,5.0,50.0
836.4759862847937,0.0,0.1,0.01,5.0,50.0
838.4156113280314,0.0,0.1,0.01,5.0,50.0
0.0,0.0,0.1,0.02,5.0,50.0
17.736362435574733,0.0,0.1,0.02,5.0,50.0
110.65610318825861,0.0,0.1,0.02,5.0,50.0
126.73290814752215,0.0,0.1,0.02,5.0,50.0
193.38320174125715,0.0,0.1,0.02,5.0,50.0
208.1222624811337,0.0,0.1,0.02,5.0,50.0
260.70577352266173,0.0,0.1,0.02,5.0,50.0
274.2771013595417,0.0,0.1,0.02,5.0,50.0
317.5605197491569,0.0,0.1,0.02,5.0,50.0
330.07489499022836,0.0,0.1,0.02,5.0,50.0
366.5553255855994,0.0,0.1,0.02,5.0,50.0
378.0919434101577,0.0,0.1,0.02,5.0,50.0
409.284194362867,0.0,0.1,0.02,5.0,50.0
419.9021374029935,0.0,0.1,0.02,5.0,50.0
446.8093807505614,0.0,0.1,0.02,5.0,50.0
456.5530091875004,0.0,0.1,0.02,5.0,50.0
479.8774127285496,0.0,0.1,0.02,5.0,50.0
488.7786974498383,0.0,0.1,0.02,5.0,50.0
509.0276603167791,0.0,0.1,0.02,5.0,50.0
517.1063379073144,0.0,0.1,0.02,5.0,50.0
534.6488352699268,0.0,0.1,0.02,5.0,50.0
541.9100610870296,0.0,0.1,0.02,5.0,50.0
557.0034453622443,0.0,0.1,0.02,5.0,50.0
563.4307716283699,0.0,0.1,0.02,5.0,50.0
576.2203141755167,0.0,0.1,0.02,5.0,50.0
581.7533251671986,0.0,0.1,0.02,5.0,50.0
592.2475899456592,0.0,0.1,0.02,5.0,50.0
596.5248855231222,0.0,0.1,0.02,5.0,50.0
605.3432306056094,0.0,0.1,0.02,5.0,50.0
605.9299174366113,0.0,0.1,0.02,5.0,50.0
616.1791546696982,0.0,0.1,0.02,5.0,50.0
618.3362555388532,0.0,0.1,0.02,5.0,50.0
631.1791268785745,0.0,0.1,0.02,5.0,50.0
633.8308342461042,0.0,0.1,0.02,5.0,50.0
648.9409089971915,0.0,0.1,0.02,5.0,50.0
651.8478128925162,0.0,0.1,0.02,5.0,50.0
669.0282091766253,0.0,0.1,0.02,5.0,50.0
672.1032630516261,0.0,0.1,0.02,5.0,50.0
691.2939018538942,0.0,0.1,0.02,5.0,50.0
694.4633628153001,0.0,0.1,0.02,5.0,50.0
715.6912908337833,0.0,0.1,0.02,5.0,50.0
718.8804769146316,0.0,0.1,0.02,5.0,50.0
742.243435501377,0.0,0.1,0.02,5.0,50.0
745.3670753274353,0.0,0.1,0.02,5.0,50.0
771.0451314400698,0.0,0.1,0.02,5.0,50.0
773.9943665943385,0.0,0.1,0.02,5.0,50.0
802.2987955085011,0.0,0.1,0.02,5.0,50.0
804.9141463431994,0.0,0.1,0.02,5.0,50.0
836.4523872795721,0.0,0.1,0.02,5.0,50.0
838.439262180932,0.0,0.1,0.02,5.0,50.0
0.0,0.0,0.1,0.03,5.0,50.0
17.736362698875155,0.0,0.1,0.03,5.0,50.0
110.6561018106068,0.0,0.1,0.03,5.0,50.0
126.73290704582718,0.0,0.1,0.03,5.0,50.0
193.38319907559588,0.0,0.1,0.03,5.0,50.0
208.12226010025796,0.0,0.1,0.03,5.0,50.0
260.7057695792494,0.0,0.1,0.03,5.0,50.0
274.2770977067069,0.0,0.1,0.03,5.0,50.0
317.56051450804483,0.0,0.1,0.03,5.0,50.0
330.07489004245275,0.0,0.1,0.03,5.0,50.0
366.55531901133537,0.0,0.1,0.03,5.0,50.0
378.0919371286684,0.0,0.1,0.03,5.0,50.0
409.28418641120095,0.0,0.1,0.03,5.0,50.0
419.90212973973905,0.0,0.1,0.03,5.0,50.0
446.80937137258854,0.0,0.1,0.03,5.0,50.0
456.55300008910984,0.0,0.1,0.03,5.0,50.0
479.8774018740249,0.0,0.1,0.03,5.0,50.0
488.7786868607054,0.0,0.1,0.03,5.0,50.0
509.02764793731484,0.0,0.1,0.03,5.0,50.0
517.1063257724248,0.0,0.1,0.03,5.0,50.0
534.6488213223563,0.0,0.1,0.03,5.0,50.0
541.9100473546241,0.0,0.1,0.03,5.0,50.0
557.003429810486,0.0,0.1,0.03,5.0,50.0
563.4307562615245,0.0,0.1,0.03,5.0,50.0
576.2202965644276,0.0,0.1,0.03,5.0,50.0
581.7533103353679,0.0,0.1,0.03,5.0,50.0
592.2475213968108,0.0,0.1,0.03,5.0,50.0
596.5250338334133,0.0,0.1,0.03,5.0,50.0
605.3369441499317,0.0,0.1,0.03,5.0,50.0
605.936693234814,0.0,0.1,0.03,5.0,50.0
616.1743481497203,0.0,0.1,0.03,5.0,50.0
618.3412453452712,0.0,0.1,0.03,5.0,50.0
631.1732049929807,0.0,0.1,0.03,5.0,50.0
633.8368681818235,0.0,0.1,0.03,5.0,50.0
648.9337647842538,0.0,0.1,0.03,5.0,50.0
651.8550517823346,0.0,0.1,0.03,5.0,50.0
669.019732721294,0.0,0.1,0.03,5.0,50.0
672.1118262887446,0.0,0.1,0.03,5.0,50.0
691.2838719827757,0.0,0.1,0.03,5.0,50.0
694.4734755918096,0.0,0.1,0.03,5.0,50.0
715.6793421539248,0.0,0.1,0.03,5.0,50.0
718.8925068366377,0.0,0.1,0.03,5.0,50.0
742.228958803461,0.0,0.1,0.03,5.0,50.0
745.3816330404454,0.0,0.1,0.03,5.0,50.0
771.0270156624135,0.0,0.1,0.03,5.0,50.0
774.012564246323,0.0,0.1,0.03,5.0,50.0
802.2746113572877,0.0,0.1,0.03,5.0,50.0
804.9384141980682,0.0,0.1,0.03,5.0,50.0
836.4142572755595,0.0,0.1,0.03,5.0,50.0
838.4774786051455,0.0,0.1,0.03,5.0,50.0
0.0,0.0,0.1,0.04,5.0,50.0
17.73636306749404,0.0,0.1,0.04,5.0,50.0
110.65609988189334,0.0,0.1,0.04,5.0,50.0
126.73290550345297,0.0,0.1,0.04,5.0,50.0
193.38319534366912,0.0,0.1,0.04,5.0,50.0
208.1222567670307,0.0,0.1,0.04,5.0,50.0
260.7057640584715,0.0,0.1,0.04,5.0,50.0
274.2770925927369,0.0,0.1,0.04,5.0,50.0
317.5605071704867,0.0,0.1,0.04,5.0,50.0
330.0748831155662,0.0,0.1,0.04,5.0,50.0
366.5553098073642,0.0,0.1,0.04,5.0,50.0
378.09192833458275,0.0,0.1,0.04,5.0,50.0
409.28417527886677,0.0,0.1,0.04,5.0,50.0
419.90211901118107,0.0,0.1,0.04,5.0,50.0
446.8093582434245,0.0,0.1,0.04,5.0,50.0
456.5529873513612,0.0,0.1,0.04,5.0,50.0
479.8773866776872,0.0,0.1,0.04,5.0,50.0
488.7786720359165,0.0,0.1,0.04,5.0,50.0
509.0276306060611,0.0,0.1,0.04,5.0,50.0
517.106308783576,0.0,0.1,0.04,5.0,50.0
534.6488017957531,0.0,0.1,0.04,5.0,50.0
541.9100281292517,0.0,0.1,0.04,5.0,50.0
557.0034080380194,0.0,0.1,0.04,5.0,50.0
563.4307347479282,0.0,0.1,0.04,5.0,50.0
576.2202719091943,0.0,0.1,0.04,5.0,50.0
581.7532895692627,0.0,0.1,0.04,5.0,50.0
592.2474254663332,0.0,0.1,0.04,5.0,50.0
596.5252413648907,0.0,0.1,0.04,5.0,50.0
605.3283765290743,0.0,0.1,0.04,5.0,50.0
605.945945944655,0.0,0.1,0.04,5.0,50.0
616.167656341,0.0,0.1,0.04,5.0,50.0
618.3481937680308,0.0,0.1,0.04,5.0,50.0
631.1649594384501,0.0,0.1,0.04,5.0,50.0
633.8452706035641,0.0,0.1,0.04,5.0,50.0
648.9238222760538,0.0,0.1,0.04,5.0,50.0
651.8651268370229,0.0,0.1,0.04,5.0,50.0
669.0079442863859,0.0,0.1,0.04,5.0,50.0
672.1237362188311,0.0,0.1,0.04,5.0,50.0
