Δϵ_n,Ω_d,N
0.0,0.0,20.0
0.006212702256815861,0.0,20.0
0.9690039577200518,0.0,20.0
0.037541149743404445,0.0,20.0
0.92208524569855,0.0,20.0
0.9146541670988869,0.0,20.0
0.8828792536953352,0.0,20.0
0.1497990981572948,0.0,20.0
0.8116936215791078,0.0,20.0
0.7442728505308837,0.0,20.0
0.700472076319389,0.0,20.0
0.6869434670514304,0.0,20.0
0.6663697744231429,0.0,20.0
0.3914244956634921,0.0,20.0
0.4076667443965628,0.0,20.0
0.5569356219511323,0.0,20.0
0.5316723342324008,0.0,20.0
0.5270805573997016,0.0,20.0
0.46862911866838564,0.0,20.0
0.5140464878099986,0.0,20.0
0.0,0.01,20.0
0.006112908661789207,0.01,20.0
0.9690792996017281,0.01,20.0
0.03754367475084874,0.01,20.0
0.9221005985183972,0.01,20.0
0.9146549619748213,0.01,20.0
0.8827783445449271,0.01,20.0
0.1496940536645533,0.01,20.0
0.8116933723566897,0.01,20.0
0.7443746387614084,0.01,20.0
0.7004770449860491,0.01,20.0
0.6869430604979916,0.01,20.0
0.6663691394730833,0.01,20.0
0.39159943385394796,0.01,20.0
0.40766843261591,0.01,20.0
0.5569572341324739,0.01,20.0
0.531555442514746,0.01,20.0
0.5270799879715525,0.01,20.0
0.46863604417430194,0.01,20.0
0.5140468539358646,0.01,20.0
0.0,0.02,20.0
0.005813623282972025,0.02,20.0
0.9693053257926777,0.02,20.0
0.03755124957961997,0.02,20.0
0.9221466567500594,0.02,20.0
0.914657346479463,0.02,20.0
0.8824756161215537,0.02,20.0
0.14937892081146575,0.02,20.0
0.8116926247769949,0.02,20.0
0.7446799965010094,0.02,20.0
0.7004919507650076,0.02,20.0
0.6869418410522062,0.02,20.0
0.6663672352311846,0.02,20.0
0.39212415764963354,0.02,20.0
0.4076734971019837,0.02,20.0
0.5570220704589326,0.02,20.0
0.5312047675881515,0.02,20.0
0.5270782800979728,0.02,20.0
0.46865682046151436,0.02,20.0
0.5140479522335225,0.02,20.0
0.0,0.03,20.0
0.005315132949666845,0.03,20.0
0.9696820387760096,0.03,20.0
0.03756387428215752,0.03,20.0
0.9222234205183371,0.03,20.0
0.914661320645884,0.03,20.0
0.8819710663744819,0.03,20.0
0.14885370236653028,0.03,20.0
0.8116913788165725,0.03,20.0
0.745188903744785,0.03,20.0
0.7005167937186211,0.03,20.0
0.6869398086567786,0.03,20.0
0.6663640615504187,0.03,20.0
0.39299839580022033,0.03,20.0
0.40768193790114116,0.03,20.0
0.557130131101471,0.03,20.0
0.5306203109991756,0.03,20.0
0.5270754336713519,0.03,20.0
0.46869144759813397,0.03,20.0
0.5140497827244226,0.03,20.0
0.0,0.04,20.0
0.004617914948160551,0.04,20.0
0.970209442755381,0.04,20.0
0.03758154899551719,0.04,20.0
0.9223308900946563,0.04,20.0
0.9146668845607904,0.04,20.0
0.8812646919538354,0.04,20.0
0.14811840311198649,0.04,20.0
0.8116896344138269,0.04,20.0
0.7459013272179096,0.04,20.0
0.7005515740077081,0.04,20.0
0.686936963160742,0.04,20.0
0.6663596179955736,0.04,20.0
0.3942216970205191,0.04,20.0
0.40769375513474926,0.04,20.0
0.5572814164096267,0.04,20.0
0.5298020753927362,0.04,20.0
0.5270714484016061,0.04,20.0
0.4687399257572774,0.04,20.0
0.5140523454648069,0.04,20.0
0.0,0.05,20.0
0.003722635188632417,0.05,20.0
0.9708875430695323,0.05,20.0
0.037604273504391494,0.05,20.0
0.9224690653390457,0.05,20.0
0.9146740380866627,0.05,20.0
0.8803564876132628,0.05,20.0
0.14717302939855176,0.05,20.0
0.8116873916665042,0.05,20.0
0.7468172197880867,0.05,20.0
0.7005962913908744,0.05,20.0
